Longitude;Latitude;Plotname;Plotid;Status;Location
9.334410162;48.478073165;AEW01;A18422;VIP;Forest
9.3514506421;48.3799904765;AEW02;A20965;VIP;Forest
9.355590784;48.4122625017;AEW03;A21613;VIP;Forest
9.2448273429;48.3990986481;AEW04;A5276;VIP;Forest
9.4146817957;48.4196184682;AEW05;A30591;VIP;Forest
9.4459367075;48.3940513182;AEW06;A35255;VIP;Forest
9.2613559815;48.3962384103;AEW07;A7321;VIP;Forest
9.3823844929;48.3825895508;AEW08;A25660;VIP;Forest
9.4152176233;48.3693457637;AEW09;A30535;VIP;Forest
9.3931477757;48.3777869241;AEW10;A27281;EP;Forest
9.3197522888;48.4915951512;AEW11;A16193;EP;Forest
9.2513658515;48.3694616359;AEW12;A5863;EP;Forest
9.3986777067;48.3789099752;AEW13;A28098;EP;Forest
9.337759582;48.3755620401;AEW14;A18920;EP;Forest
9.4065105777;48.3894672795;AEW15;A29334;EP;Forest
9.4446523886;48.3861424622;AEW16;A35042;EP;Forest
9.2429915954;48.3964586199;AEW17;A5149;EP;Forest
9.2337993934;48.36500227;AEW18;A4246;EP;Forest
9.3111837565;48.4842445665;AEW19;A14961;EP;Forest
9.3187195033;48.3701037561;AEW20;A16058;EP;Forest
9.3211949623;48.4843968668;AEW21;A16389;EP;Forest
9.4526381407;48.3823072372;AEW22;A36262;EP;Forest
9.4879752912;48.3858317363;AEW23;A41483;EP;Forest
9.2947850994;48.4789820525;AEW24;A12513;EP;Forest
9.4209567168;48.475891201;AEW25;A31470;EP;Forest
9.4381710237;48.417462913;AEW26;A34057;EP;Forest
9.4743515014;48.4002326117;AEW27;A39499;EP;Forest
9.3050099068;48.4923546666;AEW28;A13956;EP;Forest
9.3566062224;48.3836617112;AEW29;A21785;EP;Forest
9.3713773469;48.3727333655;AEW30;A24017;EP;Forest
9.2568234938;48.3811404452;AEW31;A6692;EP;Forest
9.3663848487;48.4105199182;AEW32;A23243;EP;Forest
9.490470405;48.3911719491;AEW33;A41892;EP;Forest
9.4958712598;48.3911487688;AEW34;A42708;EP;Forest
9.4151647193;48.4456961992;AEW35;A30620;EP;Forest
9.2230702498;48.3804016572;AEW36;A3271;EP;Forest
9.4391681555;48.392098933;AEW37;A34233;EP;Forest
9.4454349383;48.3829918802;AEW38;A35243;EP;Forest
9.2365486248;48.3757882361;AEW39;A4506;EP;Forest
9.3494366049;48.499602234;AEW40;A20690;EP;Forest
9.4041380519;48.3644121378;AEW41;A28898;EP;Forest
9.4527065741;48.3960932296;AEW42;A36277;EP;Forest
9.3783084379;48.3790957789;AEW43;A25044;EP;Forest
9.223093501;48.3857074703;AEW44;A3277;EP;Forest
9.5012535366;48.3892368857;AEW45;A43486;EP;Forest
9.3593246896;48.3862612052;AEW46;A22196;EP;Forest
9.4079033192;48.4167020413;AEW47;A29568;EP;Forest
