Plotname;Plotid;Status;Location;Longitude;Latitude;utm_x;utm_y
AEG01;A19557;VIP;Grassland;9.3419867529;48.3980050128;525313.818111631;5360594.8599544
AEG02;A39275;VIP;Grassland;9.4727841247;48.3768572731;535009.903830619;5358295.70300224
AEG03;A48112;VIP;Grassland;9.5323787503;48.4088814832;539398.170824761;5361884.2247044
AEG04;A31160;VIP;Grassland;9.4188891246;48.3808884549;531016.511638633;5358720.56554165
AEG05;A34237;VIP;Grassland;9.4392007081;48.3958758627;532510.92522035;5360394.88045166
AEG06;A34651;VIP;Grassland;9.4416781078;48.401262153;532690.857926932;5360994.63799811
AEG07;A24854;VIP;Grassland;9.3768471301;48.3914209811;527897.774111822;5359875.12762679
AEG08;A42131;VIP;Grassland;9.4921245872;48.4226402847;536409.384096171;5363393.64321993
AEG09;A43687;VIP;Grassland;9.5027923796;48.3946709269;537219.032960888;5360289.88341563
AEG10;A2277;EP;Grassland;9.2126008478;48.3787128703;515742.644891471;5358415.81470561
AEG11;A20470;EP;Grassland;9.3477155235;48.4853987987;525693.746264067;5370310.9535684
AEG12;A20771;EP;Grassland;9.3502309279;48.3891220871;525928.562977992;5359610.25040465
AEG13;A22610;EP;Grassland;9.3621982699;48.3916479693;526813.209966453;5359895.12860892
AEG14;A46088;EP;Grassland;9.5186692771;48.3757600015;538408.537632655;5358195.71485322
AEG15;A35767;EP;Grassland;9.4486539191;48.487881799;533150.753440235;5370625.76498947
AEG16;A36692;EP;Grassland;9.4554611349;48.40210764;533710.449165946;5361094.58934885
AEG17;A46114;EP;Grassland;9.5183688727;48.3993230386;538368.575527499;5360814.66299452
AEG18;A46500;EP;Grassland;9.5214424368;48.3829418675;538608.46398078;5358995.39190606
AEG19;A35463;EP;Grassland;9.4473185834;48.39764314;533110.685944351;5360594.79513727
AEG20;A21699;EP;Grassland;9.3564020806;48.4895088831;526333.493105572;5370770.76353231
AEG21;A21850;EP;Grassland;9.3572193006;48.4422038842;526418.415258655;5365512.87502923
AEG22;A45310;EP;Grassland;9.5134230403;48.4043813138;537998.728772504;5361374.44118706
AEG23;A45122;EP;Grassland;9.512354055;48.4189546956;537908.778416322;5362993.79135019
AEG24;A42306;EP;Grassland;9.4934922481;48.3964648774;536529.311669274;5360484.8108528
AEG25;A7116;EP;Grassland;9.2595965836;48.3954780011;519216.265036113;5360290.03299816
AEG26;A28932;EP;Grassland;9.4038818301;48.3951061598;529896.974476305;5360294.94234669
AEG27;A40320;EP;Grassland;9.4799316588;48.4191396371;535509.742211349;5362998.80934704
AEG28;A42175;EP;Grassland;9.492303341;48.4620734674;536394.426668504;5367776.88240593
AEG29;A22026;EP;Grassland;9.358324659;48.4168404068;526513.353680404;5362694.00668007
AEG30;A36956;EP;Grassland;9.4572977908;48.4562378064;533810.459136609;5367112.17099793
AEG31;A37367;EP;Grassland;9.4600244612;48.4587449338;534010.381158482;5367392.05689162
AEG32;A41172;EP;Grassland;9.485781341;48.4658332639;535909.624885333;5368191.71979309
AEG33;A41959;EP;Grassland;9.4910511483;48.4514222421;536309.450922168;5366592.35899029
AEG34;A43366;EP;Grassland;9.5005580665;48.4558776829;537009.174000451;5367092.15235884
AEG35;A11495;EP;Grassland;9.2884387238;48.4808866615;521315.500631849;5369791.1987588
AEG36;A13124;EP;Grassland;9.2992438253;48.4781611668;522115.176918896;5369491.31258972
AEG37;A30361;EP;Grassland;9.4135454726;48.3961509361;530611.688362107;5360414.88821811
AEG38;A32042;EP;Grassland;9.4252511339;48.4395441364;531451.391221406;5365242.94159582
AEG39;A32195;EP;Grassland;9.4256829259;48.3942180774;531511.325202656;5360204.96507242
AEG40;A53417;EP;Grassland;9.5665626636;48.4097972087;541927.155849314;5362004.15540314
AEG41;A28088;EP;Grassland;9.3984861338;48.3699446079;529512.105821052;5357496.07000076
AEG42;A24657;EP;Grassland;9.3760179249;48.3979885716;527832.806276982;5360604.83501132
AEG43;A49542;EP;Grassland;9.5420173244;48.4134228471;540107.889964978;5362394.01396852
AEG44;A33605;EP;Grassland;9.4349969019;48.3779957932;532211.029140121;5358405.6821114
AEG45;A37099;EP;Grassland;9.4579527081;48.4013333334;533895.374169554;5361009.62194499
AEG46;A33626;EP;Grassland;9.4348888005;48.3969714231;532191.054721175;5360514.83491619
AEG47;A35283;EP;Grassland;9.446157209;48.4192307705;533010.746075264;5362993.83216061
AEG48;A43134;EP;Grassland;9.4986696758;48.4218476697;536894.188628479;5363308.67331137
AEG49;A43953;EP;Grassland;9.5046227699;48.4567591994;537309.054367327;5367192.10970156
AEG50;A38525;EP;Grassland;9.4676487349;48.4056558727;534610.091085074;5361494.42122334
AEW01;A18422;VIP;Forest;9.334410162;48.478073165;524714.132956773;5369492.29058803
AEW02;A20965;VIP;Forest;9.3514506421;48.3799904765;526023.516408055;5358595.65721999
AEW03;A21613;VIP;Forest;9.355590784;48.4122625017;526313.429759801;5362184.2131431
AEW04;A5276;VIP;Forest;9.2448273429;48.3990986481;518121.708039219;5360688.88184299
AEW05;A30591;VIP;Forest;9.4146817957;48.4196184682;530681.681947654;5363023.83950517
AEW06;A35255;VIP;Forest;9.4459367075;48.3940513182;533010.722776104;5360194.95661251
AEW07;A7321;VIP;Forest;9.2613559815;48.3962384103;519346.213542191;5360374.99779565
AEW08;A25660;VIP;Forest;9.3823844929;48.3825895508;528312.599323554;5358895.51774117
AEW09;A30535;VIP;Forest;9.4152176233;48.3693457637;530751.607376761;5357436.08379443
AEW10;A27281;EP;Forest;9.3931477757;48.3777869241;529112.273673172;5358365.72393711
AEW11;A16193;EP;Forest;9.3197522888;48.4915951512;523624.583075335;5370990.6977236
AEW12;A5863;EP;Forest;9.2513658515;48.3694616359;518616.482001065;5357396.20053
AEW13;A28098;EP;Forest;9.3986777067;48.3789099752;529521.110481975;5358492.6695381
AEW14;A18920;EP;Forest;9.337759582;48.3755620401;525011.918665827;5358098.86520806
AEW15;A29334;EP;Forest;9.4065105777;48.3894672795;530094.889767955;5359669.19210008
AEW16;A35042;EP;Forest;9.4446523886;48.3861424622;532920.751598293;5359315.31076098
AEW17;A5149;EP;Forest;9.2429915954;48.3964586199;517986.75981292;5360395.00102522
AEW18;A4246;EP;Forest;9.2337993934;48.36500227;517316.99988122;5356896.41206778
AEW19;A14961;EP;Forest;9.3111837565;48.4842445665;522994.829220522;5370171.03221927
AEW20;A16058;EP;Forest;9.3187195033;48.3701037561;523604.478982029;5357486.12305779
AEW21;A16389;EP;Forest;9.3211949623;48.4843968668;523734.532257281;5370191.01804775
AEW22;A36262;EP;Forest;9.4526381407;48.3823072372;533514.509548257;5358892.47568948
AEW23;A41483;EP;Forest;9.4879752912;48.3858317363;536128.462831039;5359300.29007958
AEW24;A12513;EP;Forest;9.2947850994;48.4789820525;521785.31017015;5369581.27919131
AEW25;A31470;EP;Forest;9.4209567168;48.475891201;531111.561373938;5369281.3220829
AEW26;A34057;EP;Forest;9.4381710237;48.417462913;532420.981324238;5362793.91739141
AEW27;A39499;EP;Forest;9.4743515014;48.4002326117;535109.885312808;5360894.65801545
AEW28;A13956;EP;Forest;9.3050099068;48.4923546666;522535.021400787;5371070.67464975
AEW29;A21785;EP;Forest;9.3566062224;48.3836617112;526403.367221041;5359005.48941958
AEW30;A24017;EP;Forest;9.3713773469;48.3727333655;527502.915459829;5357795.96620835
AEW31;A6692;EP;Forest;9.2568234938;48.3811404452;519016.332143897;5358695.67516202
AEW32;A23243;EP;Forest;9.3663848487;48.4105199182;527113.106937344;5361994.28279762
AEW33;A41892;EP;Forest;9.490470405;48.3911719491;536309.395097425;5359895.04962691
AEW34;A42708;EP;Forest;9.4958712598;48.3911487688;536709.234471543;5359895.04629374
AEW35;A30620;EP;Forest;9.4151647193;48.4456961992;530701.69804119;5365922.6747685
AEW36;A3271;EP;Forest;9.2230702498;48.3804016572;516517.335266647;5358605.73199544
AEW37;A34233;EP;Forest;9.4391681555;48.392098933;532510.921728553;5359975.04911892
AEW38;A35243;EP;Forest;9.4454349383;48.3829918802;532980.724594444;5358965.45081332
AEW39;A4506;EP;Forest;9.2365486248;48.3757882361;517516.929499674;5358095.92852582
AEW40;A20690;EP;Forest;9.3494366049;48.499602234;525813.711214643;5371890.31812471
AEW41;A28898;EP;Forest;9.4041380519;48.3644121378;529933.931261837;5356883.31267439
AEW42;A36277;EP;Forest;9.4527065741;48.3960932296;533510.523906715;5360424.86008644
AEW43;A25044;EP;Forest;9.3783084379;48.3790957789;528012.716554314;5358505.67685314
AEW44;A3277;EP;Forest;9.223093501;48.3857074703;516517.340146794;5359195.49506637
AEW45;A43486;EP;Forest;9.5012535366;48.3892368857;537109.072096531;5359685.12729299
AEW46;A22196;EP;Forest;9.3593246896;48.3862612052;526603.2893112;5359295.3713027
AEW47;A29568;EP;Forest;9.4079033192;48.4167020413;530181.880007597;5362696.97497155
